iter	Passed	Remaining
403	11913	2830
404	11934	2799
405	11956	2768
406	12030	2749
407	12072	2722
408	12093	2690
409	12116	2659
410	12140	2629
411	12161	2597
412	12184	2566
413	12206	2535
414	12228	2504
415	12250	2473
416	12306	2449
417	12359	2424
418	12456	2408
419	12543	2389
420	12616	2367
421	12642	2336
422	12667	2305
423	12702	2276
424	12748	2249
425	12803	2224
426	12824	2192
427	12845	2160
428	12868	2129
429	12886	2097
430	12907	2066
431	12930	2035
432	12952	2004
433	12970	1972
434	12992	1941
435	13013	1910
436	13036	1879
437	13058	1848
438	13081	1817
439	13102	1786
440	13125	1756
441	13148	1725
442	13170	1694
443	13192	1663
444	13213	1633
445	13234	1602
446	13254	1571
447	13275	1540
448	13298	1510
449	13324	1480
450	13351	1450
451	13380	1420
452	13416	1391
453	13437	1361
454	13465	1331
455	13495	1302
456	13522	1272
457	13551	1242
458	13577	1212
459	13605	1183
460	13632	1153
461	13663	1123
462	13689	1093
463	13717	1064
464	13745	1034
465	13774	1004
466	13797	974
467	13822	945
468	13850	915
469	13876	885
470	13904	856
471	13929	826
472	13959	796
473	13986	767
474	14015	737
475	14043	708
476	14073	678
477	14099	648
478	14123	619
479	14150	589
480	14180	560
481	14204	530
482	14232	500
483	14262	471
484	14289	441
485	14321	412
486	14349	383
487	14375	353
488	14404	324
489	14430	294
490	14459	265
491	14487	235
492	14515	206
493	14544	176
494	14574	147
495	14607	117
496	14656	88
497	14683	58
498	14709	29
499	14736	0
